"aaln","name","house","birthdate","balance"
"86091",Kamryn Oneal,SL,1964-09-22,28372.0
"349493",Kendra Walker,Gryffindor,1994-06-15,34772.0
"210184",Jaylin Zimmerman,Hufflepuff,1996-08-04,15212.0
"122130",Lucian Choi,Hufflepuff,1959-12-16,21784.0
"11652",Barrett Cardenas,SL,2007-05-24,21518.0
"73641",Warren Montoya,HUFFLEPUFF,1982-05-23,5373.0
"601523",Kayden Johnson,RAVENCLAW,2010-04-15,48301.0
"981142",Cameron Mcmillan,N/A,1977-11-16,7476.0
"593911",Hallie Ray,"",1958-02-19,19424.0
"179006",Amanda Bullock,ravenclaw,2007-12-15,33282.0
"371026",Dario Durham,GRYFFINDOR,1964-07-21,3.0
"295438",Kamila Smith,Beauxbatons,1999-01-31,23864.0
"999484",John Arellano,SLYTHERIN,1980-02-05,19506.0
"708314",Savannah Berg,SLYTHERIN,1960-02-24,16708.0
"43801",James Sims,Huffle,1971-11-19,21735.0
"4220",Marshall Burke,SLYTHERIN,1996-08-10,46332.0
"091699",Melody Esparza,Hufflepuff,1976-01-26,22786.0
"310242",Alayna Ellis,Hufflepuff,1988-02-09,40779.0
"718084",Kane Hicks,Castelobruxo,1989-12-19,27177.0
"486759",Braxton Cooper,Gr,1957-07-10,39442.0
"748466",Liam Mcclain,Hufflepuff,1986-04-24,6999.0
"91778",Marcos Klein,SL,1996-03-28,32884.0
"531459",Madilynn Rasmussen,Ravenclaw,1964-11-03,46164.0
"660002",Aracely Park,Hufflepuff,2008-06-20,31955.0
"44495",Olivia Vargas,House,1981-01-16,25040.0
"552753",Roderick Eaton,SL,1993-03-25,48696.0
"937997",Bryant Velasquez,RA,1976-04-28,17392.0
"720398",Moriah Casey,Slytherin,1965-01-01,48360.0
"122521",Mikayla Brewer,Green,2009-11-26,22585.0
"649141",Draven Rangel,RAVENCLAW,1990-12-08,32614.0
"123541",Felipe Marshall,HUFFLE,1954-06-01,29004.0
"027677",Beau Gilmore,Durmstrang,1962-03-18,6741.0
"447664",Caitlyn Garrison,N/A,1980-06-18,22644.0
"345196",Mallory Garner,Uagadou,1994-01-23,41038.0
"5600",Ayanna Henson,HUFFLEPUFF,1961-07-05,26874.0
"556509",Colten Harper,SL,1957-06-14,3849.0
"868543",Clay Rivers,Beauxbatons,1980-10-09,889.0
"004569",Lailah Howe,Beauxbatons,1955-07-05,78.0
"199661",Melany Hess,Ravenclaw,1993-12-30,39369.0
"297471",Calvin Glover,Green,1991-12-17,39464.0
"033464",Philip Waller,"",2006-08-07,19551.0
"061336",Roy Cunningham,HU,1957-11-30,49920.0
"051780",Boston Jefferson,HUFFLEPUFF,1986-10-31,30808.0
"896468",Nikhil Frye,HUFFLEPUFF,1956-05-12,49743.0
"164050",Giovanny Barrera,Huffle,1978-02-28,38734.0
"63575",Kylee Sparks,Mahoutokoro,2009-01-20,29119.0
"722260",Brielle Estes,SLYTHERIN,1994-05-24,29496.0
"568145",Karlee Fuentes,Slyth,1961-08-17,35387.0
"062497",Maggie Oneal,Hufflepuff,1970-05-21,16483.0
"578340",Sanaa Sherman,Hufflepuff,1979-05-08,25179.0
"544328",Angelo Howard,HUFFLE,2001-03-01,17459.0
"07550",Raegan Morrison,Koldovstoretz,1960-11-28,47087.0
"987801",Rodolfo Joyce,Hufflepuff,1957-05-10,19827.0
"084676",Clayton Quinn,SLYTHERIN,2006-02-11,48038.0
"012149",Finley Jarvis,"",1982-07-20,49858.0
"62396",Meredith Patton,Beauxbatons,2006-06-20,5086.0
"494020",Elle Knox,HUFFLEPUFF,1974-01-11,15843.0
"169344",Elian Joyce,G,1976-08-02,40974.0
"387997",Mariam Rowe,Ravenclaw,2004-09-09,22107.0
"517158",Freddy Lucero,Huffle,1988-07-14,32857.0
"984624",Marlon Shelton,Durmstrang,2005-04-10,18685.0
"186347",Anya Barnett,Thunderbird(Ilvermorny),1983-07-29,14963.0
"422667",Jaylin Adams,Green,1978-06-15,47603.0
"007756",Kaelyn Hays,"",1961-09-01,505.0
"743752",Thalia Norris,Hufflepuff,1959-10-24,6535.0
"274017",Skyler Lyons,HUFFLEPUFF,1981-06-12,49678.0
"485042",Erica Haynes,RAVENCLAW,1996-03-11,6185.0
"914454",Savanna Noble,Slyth,1991-03-03,32731.0
"92239",Abbey Day,Mahoutokoro,1965-07-07,49119.0
"895719",Valeria Pace,RAVENCLAW,1976-12-27,40730.0
"392681",Raina Cain,H,2011-08-11,28359.0
"354646",Delaney Livingston,Ravenclaw,2002-09-15,716.0
"17866",Brooklyn Parks,raven,2005-09-20,23563.0
"000396",Darrell Ellison,HUflepluff,1967-05-30,20257.0
"636928",Sandra Carr,Green,2008-11-16,22791.0
"338030",Devan Le,N/A,2013-09-13,17687.0
"431757",Lorena Fletcher,"",2000-12-31,37514.0
"596182",Ignacio Horton,N/A,1983-02-18,43368.0
"241514",Gaven Clements,"",1975-07-10,47319.0
"479075",Kayden Scott,Slytherin,1956-01-14,23116.0
"815200",Morgan Figueroa,Durmstrang,1965-12-24,49011.0
"165583",Heather Ross,SLYTHERIN,2000-12-29,10004.0
"445649",Jaiden Mata,Slyth,2010-08-12,4153.0
"952830",Aydin Wilkins,GRYFFINDOR,1999-06-25,39043.0
"948197",Corbin Hudson,RAVENCLAW,1998-10-20,22469.0
"788337",Kyle Nolan,SLYTHERIN,1972-11-15,8401.0
"691533",Maddison Wright,"",1968-03-23,32675.0
"327634",Davon Haynes,SL,2010-12-20,33301.0
"940303",Emmalee Garrison,Hufflepuff,2012-04-10,2597.0
"005091",Nora Travis,SLYTHERIN,1998-04-15,30299.0
"185941",Tyree Ware,RAVENCLAW,1955-09-27,21002.0
"808883",Kareem Riley,Gr,1988-05-13,11082.0
"077705",Rayan Mullen,Ravenclaw,2000-07-01,37211.0
"320426",Ethan Davies,Slyth,2009-04-24,8990.0
"326968",Marley Christensen,Hufflepuff,1973-04-20,33276.0
"504436",Niko Martinez,Horned Serpent(Ilvermorny),1984-10-09,4160.0
"133156",Hana Mayo,HUFFLEPUFF,1956-01-12,15791.0
"135634",Callie Armstrong,GRYFFINDOR,2013-11-23,36540.0
"954386",Madelynn Howell,griffindor,1997-07-17,30479.0
"880904",Judah Cook,Red,1978-09-17,37271.0
"952407",Kenzie Wolfe,raven,2005-08-27,5878.0
"580426",Sidney Hayden,Horned Serpent(Ilvermorny),1985-09-26,36719.0
"369837",Ashlynn Burch,House,1972-04-13,43271.0
"979355",Elena Johnston,Durmstrang,2005-03-29,20885.0
"867206",Mateo Stein,G,2000-12-07,44021.0
"355272",Alannah Cardenas,RAVENCLAW,1956-12-18,7831.0
"11175",Konner Salazar,gryffindor,2010-08-13,31729.0
"981954",Branson Wilkerson,"",1997-09-19,16529.0
"776092",Stanley Mckay,Gryffindor,1988-07-15,15795.0
"651532",Nevaeh Harding,Hufflepuff,1975-04-21,7405.0
"324559",Jaylon Garner,Gryffindor,1956-04-24,32403.0
"832549",Zion Scott,Blue,1976-02-23,11366.0
"117225",Lawrence Simon,"",1999-03-21,31856.0
"999212",Van Valdez,Thunderbird(Ilvermorny),1992-08-28,21812.0
"351880",Aliyah Wade,Slytherin,1966-05-08,4776.0
"885823",Marianna Bass,RAVENCLAW,2005-05-05,14907.0
"755521",Aleena Shepherd,gryffindor,1989-02-15,39128.0
"463911",Paola Pugh,"",1992-04-30,12439.0
"313611",Jude Navarro,House,1957-08-19,14500.0
"490142",Rayna Holloway,gryffindor,1978-07-07,15123.0
"458513",Adelaide Wu,griffindor,1961-01-17,8734.0
"171368",Issac Velazquez,Gryffindor,1982-01-04,29335.0
"327620",Kelsey Mahoney,Gryffindor,1969-10-06,44012.0
"274932",Itzel Williams,Ravenclaw,1968-07-21,48216.0
"552492",Dominic Lamb,RAVENCLAW,2013-01-13,6605.0
"971218",Harley White,Ravenclaw,2005-09-03,30975.0
"063731",Virginia Bautista,SLYTHERIN,2004-01-29,11747.0
"625334",Kallie Sutton,H,1970-01-31,7415.0
"352338",Zion Decker,Jigglypuff,1976-04-04,32660.0
"926347",Mary Elliott,gryffindor,1985-10-22,24586.0
"101810",Kristin Davis,Slyth,1985-11-09,18638.0
"106269",London Stark,"",1969-11-01,37809.0
"834576",Caden Caldwell,Beauxbatons,1966-05-13,17155.0
"518144",Morgan Thompson,Hufflepuff,1965-02-26,382.0
"615626",Alexis Rosario,HU,1975-12-24,17813.0
"254338",Vance Keith,G,1963-06-20,16977.0
"317866",Hadley Burgess,Durmstrang,1977-05-30,34584.0
"880603",Aliya Glenn,RA,1966-10-14,39504.0
"855157",Noah Harmon,SLYTHERIN,1967-04-17,24466.0
"093563",Adrienne Cordova,RA,1967-03-30,36671.0
"489398",Geovanni Craig,HUFFLE,2013-12-06,42872.0
"835536",Paxton Yang,Ravenclaw,1988-03-31,364.0
"926845",Marquise Gomez,Ravenclaw,1983-05-31,32432.0
"023739",Samara Elliott,gryfindor,2001-11-16,27580.0
"60114",Xzavier Sparks,H,2008-01-16,4027.0
"190702",Alexandria Trujillo,"",1967-10-13,8338.0
"462395",Jason Jordan,GRYFFINDOR,1957-09-10,1476.0
"232376",Tyree Jones,"",1993-08-15,12015.0
"51682",Miguel Preston,Ravenclaw,2003-05-04,15712.0
"687699",Kaylen Steele,SL,2001-02-27,7937.0
"711304",Maximillian Clay,SL,2001-07-01,39366.0
"447782",Reece Rodriguez,Gryffindor,1960-11-18,24510.0
"491354",Hanna Robertson,ravenclaw,1988-12-07,33232.0
"237870",Taylor Sanford,Slytherin,1993-02-06,5498.0
"264385",Emmy Ewing,SLYTHERIN,2001-08-02,26547.0
"270410",Sebastian Ryan,gryf,1960-10-22,19818.0
"71807",Mollie Gregory,RAVENCLAW,1979-05-31,49623.0
"877220",Eileen Aguilar,Ravenclaw,1964-11-04,9130.0
"595186",Willow Ibarra,Green,1970-10-12,46083.0
"068645",Lindsey Riley,raven,1966-10-11,21226.0
"141877",Cierra Andrews,Ravenclaw,1957-10-09,26347.0
"346270",Edith Graves,H,1987-12-13,12083.0
"408617",Ashlyn Stephenson,Gryffindor,2011-03-23,11097.0
"014318",Ali Russo,HU,1957-06-22,46237.0
"636702",Samson Vincent,GR,2011-12-26,15873.0
"973739",Edith Odom,Gr,1964-07-30,16387.0
"961916",Barrett Ruiz,Slyth,2004-08-25,20846.0
"550358",Hazel Farrell,HUFFLEPUFF,1969-03-01,31192.0
"875472",Issac Parsons,Mahoutokoro,1969-01-16,14661.0
"052410",Yamilet Lloyd,OTHER,1961-12-28,9110.0
"036786",Kirsten Holt,Hufflepuff,2012-11-14,9193.0
"650748",Heidy Bradley,RA,1967-05-23,28570.0
"094199",Uriah Clayton,Hufflepuff,1969-01-19,41301.0
"125106",Sofia Esparza,Beauxbatons,1964-04-30,35834.0
"600309",Cierra Harrell,Gr,1978-12-28,43177.0
"320604",Kendal Wood,Hufflepuff,2002-07-24,21357.0
"892404",Tamia Burgess,Gr,1972-08-20,1003.0
"638911",Kassandra Browning,RAVENCLAW,1987-12-24,38181.0
"403704",Gloria Suarez,Hufflepuff,1985-02-28,14143.0
"667175",Gianna Becker,Lions,1967-09-16,2585.0
"917741",Bryce Jacobson,Slytherin,1980-03-03,10474.0
"505580",Ashtyn Short,OThers,2013-08-10,29877.0
"263645",Lane Brooks,gryfindor,1960-04-22,4771.0
"004783",Jeremiah Crawford,Ravenclaw,1959-12-25,32420.0
"138036",Jolie Arroyo,Beauxbatons,2005-01-26,41388.0
"679543",Mateo Price,GR,1993-10-27,38629.0
"028306",Aracely Estes,Gryffindor,2009-02-17,26350.0
"327113",Henry Rowe,G,2008-07-16,9164.0
"797676",Tamara Proctor,H,1992-07-26,12580.0
"525637",Cheyanne Berry,HUFFLEPUFF,1977-11-21,38130.0
"430325",Kenneth Hubbard,SL,1967-09-23,45115.0
"225617",Alena Griffin,GR,1965-01-28,29647.0
"537214",Julian Freeman,Slytherin,1972-11-02,41414.0
"52825",Sierra Caldwell,N/A,1965-09-17,25127.0
"61426",Francesca Werner,N/A,1974-08-30,19521.0
"346716",Janiya Weeks,Hufflepuff,1989-06-26,36798.0
"846853",Jordan Booker,HUFFLE,1990-05-24,30412.0
"626648",Alice Santana,SL,2007-01-14,47631.0
"869220",Ashly Leon,"",2009-12-08,8964.0
"396395",Desmond Lang,Beauxbatons,1967-04-13,38953.0
"908304",Luciana Wong,Hufflepuff,1970-10-14,38783.0
"6675",Isabell Cunningham,Beauxbatons,1962-06-08,22945.0
"880183",Ryland Stewart,R,1970-04-17,15417.0
"109774",Fletcher Byrd,ravenclaw,1960-01-03,24017.0
"72828",Madilynn Livingston,Gryffindor,1981-10-19,21095.0
"141468",Joe Hodges,Gryffindor,1980-11-06,24655.0
"203661",Heaven Abbott,Gr,1978-11-24,15234.0
"177732",Maren Mcmahon,Snakes,1982-08-24,47092.0
"664823",Ezekiel Phelps,SLYTHERIN,1994-07-03,8362.0
"348368",Larissa Mccarthy,House,1964-03-08,47224.0
"188721",Emery Blackburn,Green,1969-01-26,45608.0
"212250",Ariana Cordova,N/A,2008-06-28,42603.0
"039437",Desmond Sherman,Hufflepuff,1993-04-12,11889.0
"105664",Reyna Calhoun,Red,2006-01-11,3221.0
"468670",Alexus Stein,SLYTHERIN,1976-12-03,38425.0
"250153",Coleman Price,Snakes,2008-11-04,32175.0
"101758",Eddie Howe,gryfindor,2005-12-07,9298.0
"479954",Priscilla Obrien,Huffle,1959-02-15,4732.0
"061833",Clay Rasmussen,gryfindor,1997-12-20,48178.0
"076157",Douglas Shaffer,HUFFLEPUFF,1974-12-29,39549.0
"118087",Emiliano Soto,G,2002-09-23,42965.0
"200978",Celeste Gay,HU,2012-07-24,36067.0
"285774",Silas Hanna,gryffindor,1994-11-04,12399.0
"337126",Brooklyn Barajas,N/A,1972-05-19,14428.0
"209000",Elena Hansen,Jigglypuff,1964-11-16,19360.0
"316292",Darryl Glover,HUFFLEPUFF,2009-11-07,39959.0
"855171",Marianna Tapia,Hufflepuff,1969-05-26,43477.0
"895426",Jesus Thompson,ravenclaw,1985-01-30,5283.0
"28105",Jamari Greene,raven,1989-05-28,21222.0
"279399",Dane Best,RA,1961-10-08,33226.0
"881764",Charlie Robertson,Beauxbatons,1970-09-24,5151.0
"60438",Victoria Cross,RAVENCLAW,1986-05-03,39417.0
"099945",Lorelai Hunt,Blue,2006-06-24,23495.0
"350256",Cassie Zhang,gryfindor,1974-05-20,32841.0
"076420",Tia Hoffman,Castelobruxo,2008-09-14,34976.0
"872032",Roberto Carrillo,raven,1983-05-12,25556.0
"310899",Abbey Snyder,Beauxbatons,1959-03-03,28243.0
"4345",Janae Molina,Green,1990-03-22,9902.0
"75905",Isaiah Harris,HUFFLEPUFF,1984-04-14,45175.0
"122251",Bridger Berry,Green,1968-09-30,13172.0
"688453",Jaquan Stephens,Red,1992-03-03,29644.0
"27393",Kaylie Stanley,HUFFLE,1956-10-05,11089.0
"18589",Cristal Kane,SLYTHERIN,1969-07-12,28221.0
"199047",Jazlynn Compton,RA,1991-08-25,30810.0
"932548",Kayla Baker,SL,1975-11-16,21872.0
"12435",Pierce Hammond,Green,1989-10-16,25027.0
"670249",Alani Thomas,raven,1955-04-14,2244.0
"681102",Kallie Mccullough,HU,2012-09-20,23546.0
"947968",Amanda Cordova,SL,2012-09-13,36254.0
"67337",Jaquan Yoder,Hufflepuff,1964-11-17,19087.0
"010931",Gabrielle Kane,HUFFLEPUFF,1974-08-24,2134.0
"391940",Brycen Bradford,Gryffindor,1980-11-29,1496.0
"783942",Donna Hardin,Green,2014-02-14,37246.0
"991148",Arely Cantrell,Slytherin,1973-11-29,25746.0
"679634",Christian Lawrence,HUFFLEPUFF,1995-07-28,24163.0
"206923",Gwendolyn Drake,raven,1975-09-23,2102.0
"606964",Maria Hampton,Slytherin,1987-08-14,13386.0
"687438",Maia Hill,Hufflepuff,1984-09-01,40552.0
"861750",Nyasia Manning,GR,1971-05-29,47251.0
"899558",Gaige Blackburn,Koldovstoretz,2004-10-13,20871.0
"498396",Rihanna Brewer,Ravenclaw,1987-10-15,10123.0
"332622",Lennon Cooke,H,1983-03-22,44049.0
"891198",Bridget Roberts,SLYTHERIN,1984-07-29,36512.0
"491113",Kianna Mcgrath,Ravenclaw,1974-05-04,26915.0
"59596",Kaila Haas,Castelobruxo,1968-03-03,47535.0
"158963",Riya Cisneros,SLYTHERIN,1992-09-29,2107.0
"686025",Leonel Franco,ravenclaw,1976-11-23,46630.0
"912978",Omar Gardner,RAVENCLAW,1981-01-09,23704.0
"601374",Karissa Curtis,Slytherin,2008-12-03,2649.0
"271957",Regan Mcdowell,SLYTHERIN,2003-06-20,22197.0
"050865",Mylee Heath,Hufflepuff,1981-08-08,11683.0
"281489",Alec Vincent,Badgers,1956-07-04,19726.0
"524343",Caroline Mccarthy,ravenclaw,1977-10-28,31769.0
"720392",Dorian Gallagher,GRYFFINDOR,2006-05-24,8467.0
"985311",Megan Obrien,Ravenclaw,1999-02-22,48295.0
"335370",Kinley Pena,House,1993-11-20,39322.0
"833622",Dalton Douglas,HU,1992-05-28,39993.0
"970496",Luca Figueroa,RAVENCLAW,1977-11-27,26321.0
"964485",Ruth Harrison,Hufflepuff,2000-08-08,20099.0
"559",Jazlene Murillo,SLYTHERIN,1964-07-26,42810.0
"313148",Emiliano Mccann,Ravenclaw,1996-12-13,25712.0
"523881",Leonidas Peters,gryf,1986-12-06,49198.0
"274389",Jazlyn Murray,Beauxbatons,1967-05-13,23904.0
"001200",Isla Bartlett,gryffindor,2005-05-09,18876.0
"579870",Juliet Whitehead,Gryffindor,2006-10-30,12842.0
"372881",Charlotte Cummings,Durmstrang,1956-02-14,23372.0
"006689",Marvin Morrow,HU,1958-08-16,16669.0
"70335",Wade Lawson,Castelobruxo,1964-10-07,46324.0
"411288",Genesis Lutz,S,1955-11-13,31679.0
"470347",Bentley Heath,Gryffindor,1956-04-11,19600.0
"299107",Saul Brandt,Ravenclaw,2002-04-09,31498.0
"428092",Rene Bonilla,Hufflepuff,1971-12-02,2447.0
"441302",Gerardo Summers,Snape,1988-09-19,180.0
"424323",Sariah Bullock,SLYTHERIN,1961-06-13,8608.0
"091968",Lennon Horn,Huffle,1989-02-02,15346.0
"913909",Tristin Buchanan,Green,1962-03-13,33946.0
"928694",Grayson Gilmore,Durmstrang,1990-12-30,38614.0
"512939",Karly Good,SL,2013-05-10,42371.0
"700110",Madelynn Hull,raven,2009-10-21,6958.0
"587749",Marley Le,HU,1987-04-10,13611.0
"956921",Ryker Cooper,R,1987-07-11,43036.0
"849200",Macey Barnett,RA,1998-09-30,43631.0
"378234",Simeon Mendoza,Gr,1999-08-02,25873.0
"020077",Jaslene Cobb,Ravenclaw,1969-03-20,38514.0
"224161",Lia Mcdowell,RA,1966-10-30,44646.0
"997195",Christine Solis,Gryffindor,1960-03-25,49445.0
"261598",Ryleigh Wise,G,1965-05-30,18498.0
"629212",Matilda Henderson,Slyth,1962-02-10,31707.0
"183315",Marshall Sherman,HUFFLEPUFF,2012-09-09,31942.0
"89062",Santiago Pitts,OTHER,2003-06-01,26476.0
"047274",Yuliana Hunt,HUflepluff,1962-12-27,44509.0
"052943",Siena Donovan,Lions,1967-06-28,26584.0
"24967",June Watkins,N/A,2011-04-03,20759.0
"241621",Jovanni Paul,Thunderbird(Ilvermorny),1967-07-19,31476.0
"639314",Litzy Choi,SLYTHERIN,1980-01-22,5121.0
"810084",Serenity Dean,SLYTHERIN,1955-02-15,25153.0
"672321",Lucia Manning,Gryffindor,1979-09-22,45915.0
"232612",Meadow Moses,Yellow,2012-10-17,38212.0
"676596",Dane Davidson,HUFFLEPUFF,1987-07-31,6721.0
"033022",Denisse Bates,Huffle,1985-10-04,1919.0
"92862",Kyler Lam,raven,1996-04-27,7841.0
"211084",Rohan Hendricks,HU,1989-10-14,31056.0
"102259",Grace Deleon,RAVENCLAW,1954-12-16,30121.0
"049973",Alexis Graham,Hufflepuff,1972-11-28,8940.0
"437551",Armando Salas,Hufflepuff,1964-10-23,18646.0
"85100",Quinn Riley, ,1989-08-09,27660.0
"222153",Kadyn Arnold,SLYTHERIN,1961-12-25,45356.0
"252258",Braiden Long,GR,2005-01-02,30404.0
"628792",Jonathon Weaver,"",1962-09-01,4430.0
"495024",Alan Suarez,griffindor,1965-09-04,24157.0
"495406",Teresa Bradshaw,RAVENCLAW,1995-01-03,20902.0
"139977",Keith Coffey,SL,1956-01-19,46919.0
"669725",Miya Good,HU,1965-07-03,19219.0
"024400",Leonard Stanley,Gryffindor,1971-07-20,42491.0
"019401",Addyson Mcpherson,S,1973-06-03,13849.0
"420312",Dayanara Baker,ravenclaw,1960-11-11,12427.0
"298314",Natasha Abbott,SLYTHERIN,2003-01-26,37032.0
"041310",Haylee Schneider,SL,1997-07-14,48835.0
"104766",Rodney Boyle,Ravenclaw,2009-02-07,4677.0
"961669",Luz Rojas,Gryffindor,1964-05-16,26802.0
"213751",Omari French,HUflepluff,2012-10-19,36919.0
"76684",Carlos Brady,G,2009-05-07,30282.0
"858081",Emerson Montes,SLYTHERIN,1965-01-06,43766.0
"365704",Leland Johns,RAVENCLAW,2000-11-06,46097.0
"087477",Troy Aguilar,Koldovstoretz,1965-09-03,40002.0
"305977",Sydney Horne,Green,1976-01-12,11913.0
"396993",Alec Glass,Huffle,2003-12-11,15986.0
"211665",Antony Cameron,Ilvermorny,2012-04-04,29312.0
"927731",Ronnie Humphrey,Blue,1977-05-01,26228.0
"397785",Arturo Edwards,"",1981-06-06,36489.0
"3316",Nyasia Pace,"",1972-04-18,28877.0
"358384",Makaila Fowler,RAVENCLAW,2004-10-24,16677.0
"903650",Kiara Lane,"",1963-01-03,41969.0
"891898",Donovan Sweeney,Beauxbatons,1990-11-27,16226.0
"527597",Vivian Copeland,Hufflepuff,1968-11-08,15054.0
"649687",Arielle Prince,HUFFLEPUFF,2008-09-29,43226.0
"213090",Gloria Frye,gryf,2002-01-12,47188.0
"220086",Deshawn Perez,Durmstrang,1967-08-17,31903.0
"887328",Ariel Farmer,Green,1966-09-22,2289.0
"605646",Aliza Sanford,ravenclaw,1969-07-04,9156.0
"363634",Javion Rangel,SLYTHERIN,1992-09-25,24954.0
"193619",Lucas Preston,Gryffindor,2008-07-09,14143.0
"804899",Kyan Yates,HUFFLEPUFF,2007-12-23,29234.0
"098329",Lilah Porter,Durmstrang,2004-04-02,21316.0
"248135",Greta Mercer,Ravenclaw,2003-11-13,37890.0
"36318",Elvis Moody,Slytherin,2012-05-15,8592.0
"760782",Teresa Giles,Hufflepuff,2006-05-01,23449.0
"181514",Karlie Curtis, ,1974-01-06,11633.0
"112057",Julia Molina,Ravenclaw,1958-03-08,41282.0
"615866",Haley Rivas,Slytherin,2012-08-29,116.0
"73691",Isaias Duke,Beauxbatons,1969-12-03,21460.0
"981105",Conner Schultz,RAVENCLAW,2012-11-18,4351.0
"712153",Areli Novak,Gryffindor,1975-09-16,1167.0
"589320",Campbell Mclaughlin,S,1965-04-23,1427.0
"941547",Zane Bowman,SLYTHERIN,1970-01-28,13727.0
"281318",Magdalena Warren,gryfindor,1990-08-31,29349.0
"985198",Zion Cook,Gryffindor,1987-01-06,28973.0
"052109",Trevor Deleon,SL,1989-05-01,11077.0
"25768",Malia Barnes,Ravenclaw,1970-03-13,17753.0
"095116",Dana Vega,RAVENCLAW,1976-11-12,19320.0
"478426",Addison Carney,HUFFLEPUFF,1992-06-11,19322.0
"816768",Sienna Holland,Slytherin,1998-05-21,46397.0
"097333",Rebecca Bullock,gryf,1984-10-27,32865.0
"073570",Donavan Terry,RAVENCLAW,1994-09-14,2639.0
"813179",Barrett Wood,Lions,1978-12-24,25128.0
"676433",Victor Fernandez,HUFFLE,1996-01-06,2642.0
"699506",Haven Santana,Thunderbird(Ilvermorny),1965-02-07,28247.0
"880282",Matilda Haynes,Gryffindor,1991-09-22,29548.0
"235806",Lydia Werner,Durmstrang,1990-05-20,23849.0
"549780",Cloe Lucero,Slytherin,1985-09-18,14085.0
"559216",Samuel Hoover,Red,2014-03-18,18888.0
"835275",Graham Wood,Ravenclaw,1990-02-19,42377.0
"206529",Aliana Mays,RAVENCLAW,1958-03-19,18104.0
"065437",Sydnee Rowe,Hufflepuff,2005-04-30,24606.0
"630032",Kaylie Cowan,SLYTHERIN,1989-07-10,46093.0
"051784",Hailee Perez,HUFFLE,2001-04-02,5113.0
"866284",Joseph Shaffer,Badgers,1994-01-01,15369.0
"031441",Kasen Castro,Gr,2008-07-21,43274.0
"872716",Riley Leon,raven,1956-12-04,29249.0
"445079",Chaya Murray,gryf,1955-07-03,36317.0
"991563",Ryland Austin,RAVENCLAW,1990-02-11,1396.0
"630078",Tony Forbes,Badgers,1959-09-08,17251.0
"402182",Aileen Abbott,Green,1974-07-22,16138.0
"479165",Aspen Sparks,RAVENCLAW,1997-10-01,40754.0
"403102",Dillan Turner,"",2007-07-17,16380.0
"70244",Jaydan Villanueva,SL,2006-06-07,45993.0
"707688",Shayla Cordova,HU,1998-05-01,25559.0
"913589",Maci Long,G,1983-07-04,13500.0
"119749",Zoey Leonard,N/A,2010-11-07,24746.0
"622133",Lawrence Gibbs,GR,1980-07-26,14117.0
"877965",Carlee Parks,GR,1976-11-06,40035.0
"388611",Cory Gillespie,RAVENCLAW,1957-09-12,17947.0
"280582",Aiyana Cortez,RAVENCLAW,1978-10-25,19615.0
"610927",Jaxson Krueger,HU,1991-03-27,36716.0
"743788",Jaliyah Jones,RA,1956-10-09,40890.0
